path,size_mb,tracked_by_git,untracked,ignored_by_git,threshold_bucket,recommended_action
live_sim/output/cockpit_launcher_20260613_022823/live_engine.stdout.log,335.5114,False,False,True,>250MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
structural_compounding_lab/output/broad_historical_structural_replay_001/ledger/_checkpoints/structural_backtest.checkpoint.json,319.8856,False,True,False,>250MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-13.csv,273.0237,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-12.csv,272.9359,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,271.172,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/ETHUSDT/1m/ETHUSDT_1m_2018-01-01_to_2026-06-13.csv,253.8612,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/ETHUSDT/1m/ETHUSDT_1m_2018-01-01_to_2026-06-12.csv,253.7776,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/ETHUSDT/1m/ETHUSDT_1m_2018-01-01T00.00.00_to_2026-05-23T00.00.00.csv,252.1009,False,False,True,>250MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/TRXUSDT/1m/TRXUSDT_1m_2018-01-01_to_2026-06-13.csv,242.0172,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/TRXUSDT/1m/TRXUSDT_1m_2018-01-01_to_2026-06-12.csv,241.9393,False,False,True,>100MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
