path,file_count,size_mb,required_for_code_to_run,required_only_for_audit_history,can_regenerate,recommended_action,reason
structural_compounding_lab/output/broad_frozen_patch_validation_001,25,0.1904,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/broad_historical_structural_replay_001,51,400.2327,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/broad_patch_accounting_and_short_rescue_audit_001,24,1.4718,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/broad_patch_bluntness_audit_001,48,0.4474,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/cost_resilient_trade_redundancy_expansion_audit_001,19,0.0534,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/daily_opportunity_definition_refinement_001,22,2.0719,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/daily_structural_opportunity_001,15,0.9977,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/detector_tightening_001,11,0.022,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/detector_tightening_002,10,0.051,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/earned_gear_activation_discovery_audit_001,45,13.774,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/equal_highs_liquidity_sweep_rescue_forensic_audit_001,29,0.6809,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/evidence_refinement_001,12,0.824,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/evidence_review_001,121,73.2245,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/execution_cost_realism_and_trade_redundancy_audit_001,20,0.0341,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/five_year_compounding_audit_001,25,0.9259,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
