file,line,matched_path_or_pattern,runnable_or_historical,recommended_fix,fixed_yes_no,notes
structural_compounding_lab/docs/windows_task_scheduler_shadow_watchtower.md,28,OneDrive,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,C:\Users\v25946b\OneDrive - Iveco Group\Documents\Retail-Trading-System
structural_compounding_lab/docs/windows_task_scheduler_shadow_watchtower.md,28,v25946b,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,C:\Users\v25946b\OneDrive - Iveco Group\Documents\Retail-Trading-System
config/structural_compounding_lab_project.json,2,C:\\,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""project_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab"","
config/structural_compounding_lab_project.json,2,\\Users\\,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""project_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab"","
config/structural_compounding_lab_project.json,2,v25946b,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""project_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab"","
config/structural_compounding_lab_project.json,3,C:\\,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""package_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab\\structural_compounding_lab"","
config/structural_compounding_lab_project.json,3,\\Users\\,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""package_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab\\structural_compounding_lab"","
config/structural_compounding_lab_project.json,3,v25946b,runnable_or_doc,Use local repo fallback or set STRUCTURAL_COMPOUNDING_LAB_ROOT on Mac; do not rely on Windows external root.,no,"""package_root"": ""C:\\Users\\v25946b\\Structural-Compounding-Lab\\structural_compounding_lab"","
scripts/generate_migration_audit.py,575,C:\\,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
scripts/generate_migration_audit.py,575,C:/,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
scripts/generate_migration_audit.py,575,\\Users\\,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
scripts/generate_migration_audit.py,575,OneDrive,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
scripts/generate_migration_audit.py,575,v25946b,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
scripts/generate_migration_audit.py,575,/abs/c:,runnable_or_doc,Replace with pathlib/project-root-relative path if this file is actively executed on Mac.,no,"patterns = [""C:\\\\"", ""C:/"", ""\\\\Users\\\\"", ""OneDrive"", ""v25946b"", ""/abs/c:""]"
tests/test_dashboard_telemetry.py,189,C:/,runnable_or_doc,Fixture path only; leave or normalize if test portability fails.,no,"source_files=[""C:/tmp/trades.csv""],"
tests/test_dashboard_telemetry.py,218,C:/,runnable_or_doc,Fixture path only; leave or normalize if test portability fails.,no,"source_files=[""C:/tmp/trades.csv""],"
