window,trade_id,symbol,side,entry_time,personality_label,runner_label,moonshot_state,pullback_type,pullback_quality_score,pullback_detected,missed_due_to_waiting,missed_reason,trade_pnl,trade_r_multiple,exit_reason,entry_score,original_entry_price,original_stop,refined_entry_price,refined_stop,target_price_same,original_risk_distance,refined_stop_distance,refined_stop_atr_fraction,refined_stop_cost_multiple,atr_value,recent_candle_noise,local_wick_noise,tick_size_estimate,tiny_stop_flag,unrealistic_stop_flag,noise_stop_flag,cost_dominated_stop_flag,original_gross_r,refined_gross_r,original_net_r_after_fees,refined_net_r_after_fees,original_net_r_after_fees_slippage,refined_net_r_after_fees_slippage,cost_drag_in_r,refined_improves_after_costs,cost_destroys_refined_advantage,minimum_required_move_after_costs,net_reward_to_cost_ratio,expected_cost_r,survives_low_cost,survives_normal_cost,survives_high_cost,survives_stress_cost,cost_aware_pullback_candidate,reason_not_cost_aware,tiny_stop_outlier,improved_r_delta,pullback_depth_atr,pattern,liquidity_event_type,liquidity_event_age_bars,level_distance_atr,htf_aligned,execution_timeframe,macd_confirmation_flag,macd_warning_flag,bb_compression,bb_expansion,bb_warning_flag,micro_pullback_detected,runner_eligible_candidate,add_on_research_candidate,structure_validity_score,archetype,archetype_detected,archetype_score,archetype_grade,entry_candidate_time,entry_candidate_price,stop_price,stop_distance,stop_atr_fraction,stop_cost_multiple,confirmation_delay,pullback_depth,cost_survival_low,cost_survival_normal,cost_survival_high,cost_dominated_flag,missed_winner_risk_flag,reject_reasons,explanation,archetype_pass,soft_evidence_only,scope
smoke,BTCUSDT-1,BTCUSDT,long,2026-06-01T22:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.95,True,False,,229.5785159252007,1.05311245837248,danger_sniffed,3.7,71038.01,70686.68,71038.01,70941.95,72442.34,351.33000000000175,96.05999999999767,0.1866436098531745,0.5821733413851213,514.6707142857152,385.64333333333343,128.65499999999884,0.01,True,True,True,True,3.9971821364528926,14.619300437227105,3.670468562320312,13.424377680616624,3.5275313736373084,12.901598974599539,1.7177014626275664,True,False,165.00240249999996,8.51096698425347,1.7177014626275657,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,False,10.622118300774213,1.430802419378224,sweep_low,sweep_low,5.0,0.7131,False,1h,False,True,False,True,False,True,False,False,0.625,HEALTHY_CONTINUATION_PULLBACK,True,11.05,REJECT,2026-06-01T22:00:00,71038.01,70941.95,96.05999999999767,0.1866436098531745,0.5821733413851213,5.0,1.430802419378224,True,True,True,True,False,stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,HEALTHY_CONTINUATION_PULLBACK via healthy_continuation_signature; quality=0.95; structure=0.62; stop_atr=0.19; stop_cost=0.58; Bollinger context supportive (soft),False,True,development
smoke,BTCUSDT-2,BTCUSDT,long,2026-06-02T05:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.65,False,True,missed_due_to_late_confirmation,-160.99616595135717,-0.7740200286122941,danger_sniffed,4.1429,70810.0,70111.0,70810.0,70764.0,72154.5,699.0,46.0,0.09791013552343904,0.27978973801188406,469.8185714285719,498.721666666667,172.48833333333218,0.01,True,True,True,True,1.9234620886981402,29.22826086956522,1.7598403433476395,26.741921739130436,1.6882558297567953,25.654148369565217,3.574112500000002,True,False,164.409175,8.177767451238655,3.5741125,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,True,27.304798780867078,0.6016211693179259,sweep_low,sweep_low,2.0,0.2612,False,1h,False,True,False,False,False,False,False,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,7.85,REJECT,2026-06-02T05:00:00,70810.0,70764.0,46.0,0.09791013552343904,0.27978973801188406,2.0,0.6016211693179259,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.65; structure=0.62; stop_atr=0.10; stop_cost=0.28,False,True,development
smoke,BTCUSDT-3,BTCUSDT,long,2026-06-02T08:00:00,CHOPPY_LOW_TRUST,moonshot_candidate,normal,HEALTHY_CONTINUATION_PULLBACK,0.75,True,False,,-216.2451417911302,-1.0,stop_hit,4.0516,70118.42,69733.0,70118.42,69907.17,71965.5,385.41999999999825,211.25,0.453542384551802,1.2928672869802091,465.7778571428571,440.40666666666704,147.41666666666666,0.01,False,True,False,True,4.792382336152794,8.743573964497049,4.4974647501427265,8.205504681656812,4.368438306263322,7.970099370414209,0.77347459408284,True,False,163.39650799999998,11.304280749990092,0.7734745940828401,True,True,True,True,False,unrealistic_stop|cost_dominated_stop,False,3.9511916283442545,0.9792671401862141,sweep_low,sweep_low,0.0,0.0163,False,1h,False,True,False,False,False,True,True,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,55.25,REJECT,2026-06-02T08:00:00,70118.42,69907.17,211.25,0.453542384551802,1.2928672869802091,0.0,0.9792671401862141,True,True,True,True,False,stop_cost_multiple_too_small|unrealistic_stop_flag|cost_dominated_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.75; structure=0.62; stop_atr=0.45; stop_cost=1.29,False,True,development
smoke,BTCUSDT-4,BTCUSDT,long,2026-06-02T20:00:00,EXHAUSTION_RISK,exhaustion_risk_runner,normal,HEALTHY_CONTINUATION_PULLBACK,0.6,True,False,,66.0283810661343,0.30870530153770054,danger_sniffed,4.0518,67315.14,66432.0,67315.14,66432.0,70315.0,883.1399999999994,883.1399999999994,1.3450578428962106,5.579793975992148,656.5814285714296,796.321666666668,468.5333333333353,0.01,False,False,False,False,3.3968113775845308,3.3968113775845308,3.272137926036645,3.272137926036645,3.217593290984445,3.217593290984445,0.17921808660008587,False,False,158.274661,18.953507662227754,0.17921808660008617,False,False,False,False,False,fails_low_cost|fails_normal_cost,False,0.0,1.5614125792384146,sweep_low,sweep_low,0.0,0.3763,False,1h,False,True,False,True,False,True,False,False,0.875,LIQUIDITY_SWEEP_RECLAIM,True,71.15,B,2026-06-02T20:00:00,67315.14,66432.0,883.1399999999994,1.3450578428962106,5.579793975992148,0.0,1.5614125792384146,False,False,False,False,False,fails_normal_cost,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.60; structure=0.88; stop_atr=1.35; stop_cost=5.58; Bollinger context supportive (soft),False,True,development
smoke,BTCUSDT-5,BTCUSDT,long,2026-06-02T22:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.65,False,True,missed_due_to_late_confirmation,-204.76338556256593,-1.0,stop_hit,3.7209,67566.01,66432.0,67566.01,67511.0,70315.0,1134.0099999999948,55.00999999999476,0.07689243306331946,0.3469279968916031,715.4150000000009,779.118333333332,387.7833333333353,0.01,True,True,True,True,2.4241320623275087,49.972550445378424,2.326862366293082,47.967373059448406,2.2843068742780197,47.09010795310401,2.8824424922744143,True,False,158.5631615,17.336876825579726,2.8824424922744067,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,True,47.548418383050915,0.6300253697388426,sweep_low,sweep_low,2.0,0.7489,False,1h,False,True,False,False,False,False,False,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,7.85,REJECT,2026-06-02T22:00:00,67566.01,67511.0,55.00999999999476,0.07689243306331946,0.3469279968916031,2.0,0.6300253697388426,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.65; structure=0.62; stop_atr=0.08; stop_cost=0.35,False,True,development
smoke,BTCUSDT-6,BTCUSDT,long,2026-06-03T00:00:00,CHOPPY_LOW_TRUST,moonshot_candidate,normal,HEALTHY_CONTINUATION_PULLBACK,0.75,True,False,,66.26764094054779,0.31203000898154815,danger_sniffed,4.0511,66760.83,66193.0,66760.83,66252.0,70142.5,567.8300000000017,508.83000000000175,0.6917338061663173,3.231921893829893,735.586428571428,817.2416666666637,370.34333333333296,0.01,False,False,False,False,5.955426800274709,6.64597213214627,5.762547480760066,6.430728015250647,5.67816277847241,6.336558714108813,0.30941341803745726,True,False,157.43882950000003,21.479262839666866,0.3094134180374575,True,True,True,True,True,,False,0.6905453318715615,1.0024510478918232,sweep_low,sweep_low,0.0,0.434,False,1h,False,True,False,False,False,True,True,False,0.875,LIQUIDITY_SWEEP_RECLAIM,True,100.0,A,2026-06-03T00:00:00,66760.83,66252.0,508.83000000000175,0.6917338061663173,3.231921893829893,0.0,1.0024510478918232,True,True,True,False,False,,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.75; structure=0.88; stop_atr=0.69; stop_cost=3.23,True,True,development
smoke,BTCUSDT-7,BTCUSDT,long,2026-06-03T03:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.65,False,True,missed_due_to_late_confirmation,-213.0981754828478,-1.0,stop_hit,4.0144,66620.01,66193.0,66620.01,66586.17,67923.24,427.00999999999476,33.83999999999651,0.04232418524870921,0.2187109866642786,799.5428571428565,781.046666666664,250.7116666666649,0.01,True,True,True,True,3.051989414767866,38.51152482269932,2.799923655183778,35.33083333333729,2.6896448853657398,33.9392808067414,4.572244015957921,True,False,154.7247375,8.422893591918426,4.572244015957919,True,True,True,True,False,tiny_stop|unrealistic_stop|noise_stop|cost_dominated_stop,True,35.459535407931455,0.6113286438661591,sweep_low,sweep_low,3.0,0.5067,False,1h,True,False,False,False,False,False,False,False,0.625,LIQUIDITY_SWEEP_RECLAIM,True,0.0,REJECT,2026-06-03T03:00:00,66620.01,66586.17,33.83999999999651,0.04232418524870921,0.2187109866642786,3.0,0.6113286438661591,True,True,True,True,False,stop_atr_too_small|stop_cost_multiple_too_small|tiny_stop_flag|unrealistic_stop_flag|cost_dominated_flag|noise_stop_flag,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.65; structure=0.62; stop_atr=0.04; stop_cost=0.22; MACD supportive (soft),False,True,development
smoke,BTCUSDT-8,BTCUSDT,short,2026-06-03T10:00:00,STRUCTURAL_RUNNER,tactical_scalp,normal,BREAKOUT_RETEST_PULLBACK,0.5,False,True,missed_due_to_late_confirmation,438.2857317099579,2.2665426581675465,slow_grind_exit,4.2313,67075.17,67516.0,67075.17,67322.0,66244.02,440.83000000000175,246.83000000000175,0.37162239185094137,1.6099316430642667,664.1957142857146,551.9616666666674,162.72333333333276,0.01,False,False,False,True,1.8854206837102532,3.367297330146207,1.643478547285782,2.9351968885467286,1.537628862600076,2.746152945346957,0.6211443847992499,True,False,153.3170685,5.421118523408202,0.6211443847992502,True,True,True,True,False,cost_dominated_stop,False,1.4818766464359538,0.8282130228430837,retest_after_breakdown,retest_after_breakdown,6.0,0.6383,False,1h,True,False,False,False,False,False,False,False,0.75,BREAKOUT_RETEST_PULLBACK,True,59.5,C,2026-06-03T10:00:00,67075.17,67322.0,246.83000000000175,0.37162239185094137,1.6099316430642667,6.0,0.8282130228430837,True,True,True,True,True,stop_cost_multiple_thin|cost_dominated_flag,BREAKOUT_RETEST_PULLBACK via breakout_retest_signature; quality=0.50; structure=0.75; stop_atr=0.37; stop_cost=1.61; MACD supportive (soft),False,True,development
smoke,BTCUSDT-9,BTCUSDT,long,2026-06-03T17:00:00,CHOPPY_LOW_TRUST,tactical_scalp,normal,HEALTHY_CONTINUATION_PULLBACK,0.75,True,False,,-40.04707128725346,-0.19286545784582534,danger_sniffed,3.8098,66061.83,65555.0,66061.83,65586.44,67476.69,506.83000000000175,475.3899999999994,0.8452311556959277,3.0956057375478743,562.4378571428585,577.1116666666663,262.646666666665,0.01,False,False,False,False,2.791586922636773,2.9762090073413456,2.580804577471728,2.7514865352657862,2.488587301462021,2.653170453732729,0.32303855360861666,True,False,153.56929800000003,9.213169679267533,0.32303855360861655,True,True,True,True,True,,False,0.18462208470457275,1.2868068789270672,equal_lows,equal_lows,3.0,0.2131,False,1h,False,True,False,False,False,True,False,False,0.875,LIQUIDITY_SWEEP_RECLAIM,True,100.0,A,2026-06-03T17:00:00,66061.83,65586.44,475.3899999999994,0.8452311556959277,3.0956057375478743,3.0,1.2868068789270672,True,True,True,False,False,,LIQUIDITY_SWEEP_RECLAIM via liquidity_sweep_reclaim_signature; quality=0.75; structure=0.88; stop_atr=0.85; stop_cost=3.10,True,True,development
smoke,BTCUSDT-10,BTCUSDT,long,2026-06-03T19:00:00,PULLBACK_CONTINUATION,normal_swing,normal,MICRO_PULLBACK_MOMENTUM,0.95,True,False,,-207.22203404323568,-1.0,stop_hit,3.9008,66036.57,65555.0,66036.57,65784.07,67476.69,481.570000000007,252.5,0.47947676673963774,1.6445199330111804,526.6157142857161,615.3516666666668,241.8700000000002,0.01,False,False,True,True,2.9904686753742435,5.703445544554437,2.7686720352180907,5.280433235643546,2.671636005149774,5.0953653504950305,0.6080801940594069,True,False,153.54024900000002,9.379429884863578,0.608080194059406,True,True,True,True,False,noise_stop|cost_dominated_stop,False,2.712976869180194,0.7477632392773861,equal_lows,equal_lows,5.0,0.2919,False,1h,False,True,False,False,False,True,True,False,0.75,EMA_VWAP_RECLAIM_PULLBACK,True,70.3,B,2026-06-03T19:00:00,66036.57,65784.07,252.5,0.47947676673963774,1.6445199330111804,5.0,0.7477632392773861,True,True,True,True,False,stop_cost_multiple_thin|cost_dominated_flag|noise_stop_flag,EMA_VWAP_RECLAIM_PULLBACK via ema_vwap_proxy_reclaim_signature; quality=0.95; structure=0.75; stop_atr=0.48; stop_cost=1.64,False,True,development
