symbol,price,type,timeframe_source,touch_count,recency,strength,first_seen,last_touched,display_only,research_flag,no_future_data,timestamp
BTCUSDT,108.7808,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:15:00+00:00,True,True,True,2026-01-01T05:15:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:15:00+00:00,True,True,True,2026-01-01T05:15:00+00:00
BTCUSDT,108.4257,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:15:00+00:00,True,True,True,2026-01-01T05:15:00+00:00
BTCUSDT,108.0187,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:30:00+00:00,True,True,True,2026-01-01T05:30:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:30:00+00:00,True,True,True,2026-01-01T05:30:00+00:00
BTCUSDT,106.9015,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:30:00+00:00,True,True,True,2026-01-01T05:30:00+00:00
BTCUSDT,107.29255,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:45:00+00:00,True,True,True,2026-01-01T05:45:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:45:00+00:00,True,True,True,2026-01-01T05:45:00+00:00
BTCUSDT,105.4492,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T05:45:00+00:00,True,True,True,2026-01-01T05:45:00+00:00
BTCUSDT,107.08235,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:00:00+00:00,True,True,True,2026-01-01T06:00:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:00:00+00:00,True,True,True,2026-01-01T06:00:00+00:00
BTCUSDT,105.0288,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:00:00+00:00,True,True,True,2026-01-01T06:00:00+00:00
BTCUSDT,107.06525,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:15:00+00:00,True,True,True,2026-01-01T06:15:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:15:00+00:00,True,True,True,2026-01-01T06:15:00+00:00
BTCUSDT,104.9946,range_low,15m,2,0.0,1.6875,2026-01-01T05:15:00+00:00,2026-01-01T06:15:00+00:00,True,True,True,2026-01-01T06:15:00+00:00
BTCUSDT,106.6465,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:30:00+00:00,True,True,True,2026-01-01T06:30:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:30:00+00:00,True,True,True,2026-01-01T06:30:00+00:00
BTCUSDT,104.1571,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:30:00+00:00,True,True,True,2026-01-01T06:30:00+00:00
BTCUSDT,105.9424,midpoint,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:45:00+00:00,True,True,True,2026-01-01T06:45:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:45:00+00:00,True,True,True,2026-01-01T06:45:00+00:00
BTCUSDT,102.7489,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T06:45:00+00:00,True,True,True,2026-01-01T06:45:00+00:00
BTCUSDT,105.641,midpoint,15m,3,0.0,2.125,2026-01-01T05:15:00+00:00,2026-01-01T07:00:00+00:00,True,True,True,2026-01-01T07:00:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T07:00:00+00:00,True,True,True,2026-01-01T07:00:00+00:00
BTCUSDT,102.1461,range_low,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T07:00:00+00:00,True,True,True,2026-01-01T07:00:00+00:00
BTCUSDT,105.641,midpoint,15m,3,0.0,2.125,2026-01-01T05:15:00+00:00,2026-01-01T07:15:00+00:00,True,True,True,2026-01-01T07:15:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T07:15:00+00:00,True,True,True,2026-01-01T07:15:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:15:00+00:00,2026-01-01T07:15:00+00:00,True,True,True,2026-01-01T07:15:00+00:00
BTCUSDT,102.1461,support,15m,2,1.0,1.6873,2026-01-01T07:00:00+00:00,2026-01-01T07:00:00+00:00,True,True,True,2026-01-01T07:00:00+00:00
BTCUSDT,105.641,midpoint,15m,4,0.0,2.5625,2026-01-01T05:15:00+00:00,2026-01-01T07:30:00+00:00,True,True,True,2026-01-01T07:30:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T07:30:00+00:00,True,True,True,2026-01-01T07:30:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:15:00+00:00,2026-01-01T07:30:00+00:00,True,True,True,2026-01-01T07:30:00+00:00
BTCUSDT,105.641,midpoint,15m,4,0.0,2.5625,2026-01-01T05:15:00+00:00,2026-01-01T07:45:00+00:00,True,True,True,2026-01-01T07:45:00+00:00
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T07:45:00+00:00,True,True,True,2026-01-01T07:45:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:15:00+00:00,2026-01-01T07:45:00+00:00,True,True,True,2026-01-01T07:45:00+00:00
BTCUSDT,105.641,midpoint,15m,4,0.0,2.5625,2026-01-01T05:15:00+00:00,2026-01-01T08:00:00+00:00,True,True,True,2026-01-01T08:00:00+00:00
