symbol,timestamp,price,type,side_implication,source_timeframe,confidence,no_future_data
BTCUSDT,2026-01-01T06:45:00+00:00,104.1571,retest_after_breakdown,short,15m,0.5,True
BTCUSDT,2026-01-01T07:00:00+00:00,102.7489,retest_after_breakdown,short,15m,0.5,True
BTCUSDT,2026-01-01T07:45:00+00:00,105.7368,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T08:00:00+00:00,106.2605,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T08:15:00+00:00,106.5839,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T08:30:00+00:00,107.8519,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T08:45:00+00:00,109.6041,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T09:00:00+00:00,110.4162,failed_breakout,short,15m,0.68,True
BTCUSDT,2026-01-01T09:00:00+00:00,110.4256,sweep_high,short,15m,0.72,True
BTCUSDT,2026-01-01T09:30:00+00:00,110.4256,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T09:45:00+00:00,110.8588,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T10:00:00+00:00,111.7289,failed_breakout,short,15m,0.68,True
BTCUSDT,2026-01-01T10:00:00+00:00,111.8204,sweep_high,short,15m,0.72,True
BTCUSDT,2026-01-01T10:45:00+00:00,111.8204,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T11:00:00+00:00,112.8193,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T11:15:00+00:00,113.9684,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T11:30:00+00:00,114.2283,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T11:45:00+00:00,114.6357,retest_after_breakout,long,15m,0.5,True
BTCUSDT,2026-01-01T12:00:00+00:00,116.1842,retest_after_breakout,long,15m,0.5,True
